56.809.283;42805
56.813.599;42980
56.817.914;42625
56.822.229;42212
56.826.544;42587
56.830.859;42427
56.835.181;43087
56.839.496;43195
56.843.811;42808
56.848.126;42942
56.852.441;43118
56.856.757;42945
56.861.072;42622
56.865.393;45416
56.869.708;42572
56.874.023;42584
56.878.339;42574
56.882.654;42562
56.886.969;43457
56.891.284;42960
56.895.599;43011
56.899.915;42974
5.690.423;42634
56.908.545;43158
5.691.286;43085
56.917.175;42899
5.692.149;43613
56.925.806;42706
56.930.121;42830
56.934.436;42952
56.938.751;42867
56.943.066;42711
56.947.382;42628
56.951.697;42794
56.956.012;43114
56.960.327;44695
56.964.642;42709
56.968.958;42724
56.973.273;42880
56.977.588;43209
56.981.903;42746
56.986.218;43228
56.990.533;43136
56.994.849;42787
56.999.164;42777
57.003.473;42187
57.007.788;43133
57.012.103;43734
57.016.418;43241
57.020.734;43257
57.025.049;43154
57.029.364;43328
57.033.673;43159
57.037.988;42937
57.042.303;43702
57.046.619;43232
57.050.934;42764
57.055.243;42539
57.059.558;43126
57.063.873;43258
57.068.188;43570
57.072.504;42686
57.076.813;42489
57.081.128;42696
57.085.443;43359
57.089.758;43755
57.094.067;42995
57.098.383;42793
57.102.698;43221
57.107.007;42700
57.111.322;43093
57.115.637;43223
57.119.952;43227
57.124.261;43061
57.128.577;43456
57.132.892;43270
57.137.201;42366
57.141.516;43099
57.145.825;43274
5.715.014;42992
57.154.456;42979
57.158.765;43148
5.716.308;43560
57.167.395;43750
57.171.704;43150
57.176.019;43099
57.180.328;42975
57.184.644;43620
57.188.953;42680
57.193.268;43183
57.197.583;42472
57.201.892;42936
57.206.207;43350
57.210.516;43561
57.214.832;42598
57.219.141;43452
57.223.456;43693
57.227.765;43113
5.723.208;43105
57.236.389;43066
57.240.704;43346
57.245.013;43278
57.249.329;43119
57.253.638;43189
57.257.947;42990
57.262.262;44166
57.266.571;42919
57.270.886;42976
57.275.195;43032
5.727.951;43182
5.728.382;44396
57.288.129;43196
57.292.444;42873
57.296.753;42514
57.301.062;43217
57.305.377;43129
57.309.686;43583
57.313.995;43154
57.318.311;43463
5.732.262;42592
57.326.929;43139
57.331.244;43145
57.335.553;43061
57.339.862;43076
57.344.177;42852
57.348.486;44471
57.352.795;43251
57.357.104;43820
5.736.142;43191
57.365.729;43659
57.370.038;43988
57.374.347;43151
57.378.662;42717
57.382.971;42409
5.738.728;43700
57.391.589;43479
57.395.898;43309
57.400.214;43299
57.404.523;42918
57.408.832;43147
57.413.141;43368
5.741.745;44337
57.421.759;42498
57.426.074;42853
57.430.383;43414
57.434.692;43055
57.439.001;42906
57.443.311;42545
5.744.762;42734
57.451.929;45209
57.456.238;44078
57.460.547;42856
57.464.862;43005
57.469.171;43121
5.747.348;43866
57.477.789;43386
57.482.098;43056
57.486.407;43247
57.490.717;43832
57.495.026;43829
57.499.335;43307
57.503.644;44060
57.507.953;43690
57.512.262;43198
57.516.571;42796
5.752.088;43852
57.525.189;42826
57.529.498;43407
57.533.807;43345
5.753.811;43234
57.542.419;43427
57.546.729;43150
57.551.038;43891
57.555.347;43631
57.559.656;43419
57.563.965;43625
57.568.274;44092
57.572.583;44062
57.576.886;43668
57.581.195;45081
57.585.504;43973
57.589.813;44173
57.594.122;44284
57.598.431;43957
57.602.734;44307
57.607.043;45291
57.611.353;44415
57.615.662;45157
57.619.971;44528
57.624.274;44161
57.628.583;44747
57.632.892;45407
57.637.201;45933
57.641.504;44767
57.645.813;44794
57.650.122;44218
57.654.431;45100
57.658.734;46020
57.663.043;45038
57.667.352;44393
57.671.655;44118
57.675.964;44876
57.680.273;44788
57.684.576;44416
57.688.885;44927
57.693.195;44630
57.697.498;44661
57.701.807;44228
5.770.611;44380
57.710.419;44684
57.714.728;44560
57.719.031;45514
5.772.334;44989
57.727.643;44374
57.731.952;44976
57.736.261;45843
57.740.564;45444
57.744.873;44889
57.749.176;43729
57.753.485;46021
57.757.788;44300
57.762.097;44482
577.664;44814
57.770.709;44567
57.775.012;45072
57.779.321;44816
57.783.624;45016
57.787.933;44415
57.792.236;43819
57.796.545;44833
57.800.848;44356
57.805.151;44700
5.780.946;44513
57.813.763;45126
57.818.073;44998
57.822.375;44638
57.826.678;45033
57.830.988;44962
57.835.291;45245
57.839.594;44776
57.843.903;46117
57.848.206;44964
57.852.509;44496
57.856.818;45061
57.861.121;44913
57.865.424;44652
57.869.733;44578
57.874.036;45179
57.878.339;44535
57.882.648;44516
57.886.951;45145
57.891.254;44392
57.895.557;44343
57.899.866;44757
57.904.169;44103
57.908.472;44511
57.912.775;44179
57.917.078;44469
57.921.387;44490
5.792.569;44559
57.929.993;44418
57.934.296;44946
57.938.599;44816
57.942.908;44707
57.947.211;44699
57.951.514;44531
57.955.817;44287
5.796.012;44201
57.964.423;44734
57.968.726;43848
57.973.029;44120
57.977.332;44435
57.981.641;45215
57.985.944;44863
57.990.247;44505
5.799.455;44601
57.998.853;45423
58.003.156;44606
58.007.458;44421
58.011.761;44954
58.016.064;44574
58.020.367;45252
5.802.467;44635
58.028.973;43992
58.033.276;44350
58.037.579;44836
58.041.882;44061
58.046.185;44352
58.050.488;45028
58.054.791;44919
58.059.088;44644
58.063.391;45437
58.067.694;44348
58.071.997;44524
580.763;44253
58.080.603;44439
58.084.906;44233
58.089.209;44625
58.093.506;44949
58.097.809;44063
58.102.112;44528
58.106.415;44308
58.110.718;44828
58.115.021;43996
58.119.318;44421
58.123.621;44715
58.127.924;44817
58.132.227;44453
5.813.653;44203
58.140.826;44690
58.145.129;44898
58.149.432;44576
58.153.729;44229
58.158.032;44294
58.162.335;44221
58.166.638;44856
58.170.935;44602
58.175.238;44582
58.179.541;44726
58.183.838;44294
58.188.141;44035
58.192.444;45904
58.196.741;44887
58.201.044;44524
58.205.347;44238
58.209.644;44027
58.213.947;44309
58.218.243;44481
58.222.546;44505
58.226.849;44600
58.231.146;44347
58.235.449;44908
58.239.746;44687
58.244.049;44040
58.248.346;43879
58.252.649;45653
58.256.946;44349
58.261.249;44342
58.265.546;44706
58.269.849;43955
58.274.146;44152
58.278.448;44274
58.282.745;44675
58.287.048;45172
58.291.345;44125
58.295.648;44364
58.299.945;44302
58.304.242;44864
58.308.545;44257
58.312.842;44308
58.317.145;44252
58.321.442;45028
58.325.739;46067
58.330.042;43936
58.334.338;44056
58.338.635;45110
58.342.938;44512
58.347.235;44329
58.351.532;44064
58.355.835;44134
58.360.132;43992
58.364.429;45369
58.368.732;44603
58.373.029;44334
58.377.325;44344
58.381.622;44489
58.385.925;44411
58.390.222;44833
58.394.519;45196
58.398.816;44286
58.403.113;44149
58.407.416;44007
58.411.713;44524
5.841.601;44776
58.420.306;44614
58.424.603;44762
58.428.906;45344
58.433.203;44244
584.375;44161
58.441.797;44541
58.446.094;44102
58.450.391;43906
58.454.688;44585
58.458.984;44317
58.463.281;44930
58.467.584;44741
58.471.881;43970
58.476.178;45757
58.480.475;44536
58.484.772;44999
58.489.069;44503
58.493.365;44465
58.497.662;44473
58.501.959;44103
58.506.256;43863
58.510.553;45027
5.851.485;43815
58.519.147;44844
58.523.444;43933
5.852.774;45060
58.532.031;44342
58.536.328;45199
58.540.625;44300
58.544.922;45130
58.549.219;44896
58.553.516;44220
58.557.812;44589
58.562.109;43636
58.566.406;44385
58.570.697;44631
58.574.994;45801
58.579.291;44777
58.583.588;44554
58.587.885;44662
58.592.181;44449
58.596.472;44822
58.600.769;44697
58.605.066;44522
58.609.363;43939
58.613.654;44142
5.861.795;43856
58.622.247;44140
58.626.544;44479
58.630.835;44231
58.635.132;44814
58.639.429;44162
58.643.719;44926
58.648.016;44335
58.652.313;44144
58.656.604;44344
58.660.901;43716
58.665.198;44041
58.669.489;44512
58.673.785;44424
58.678.082;44131
58.682.373;44312
5.868.667;44702
58.690.961;44580
58.695.258;44972
58.699.548;44818
58.703.845;44570
58.708.142;44440
58.712.433;45254
5.871.673;44607
58.721.021;44492
58.725.317;44101
58.729.608;44455
58.733.905;44235
58.738.196;44312
58.742.493;45351
58.746.783;44892
58.751.074;44379
58.755.371;44583
58.759.662;44885
58.763.959;44265
5.876.825;44115
58.772.546;44335
58.776.837;44793
58.781.128;44234
58.785.425;44449
58.789.716;44271
58.794.006;45155
58.798.303;45052
58.802.594;44239
58.806.885;44870
58.811.182;44905
58.815.472;45108
58.819.763;44538
5.882.406;44127
58.828.351;44154
58.832.642;45015
58.836.932;45546
58.841.229;45387
5.884.552;44863
58.849.811;44838
58.854.102;44772
58.858.398;45095
58.862.689;47818
5.886.698;45807
58.871.271;45280
58.875.562;45677
58.879.852;45023
58.884.149;46472
5.888.844;46502
58.892.731;48340
58.897.021;51602
58.901.312;56875
58.905.603;62364
58.909.894;65186
58.914.185;63196
58.918.475;57343
58.922.772;50387
58.927.063;48195
58.931.354;46409
58.935.645;45881
58.939.935;45843
58.944.226;46381
58.948.517;46642
58.952.808;47361
58.957.098;49552
58.961.389;52702
5.896.568;56170
58.969.971;57824
58.974.255;56329
58.978.546;52523
58.982.837;48221
58.987.128;46104
58.991.418;45487
58.995.709;45320
590;44906
59.004.291;45163
59.008.582;45159
59.012.872;44978
59.017.157;45306
59.021.448;45554
59.025.739;44851
59.030.029;44137
5.903.432;44437
59.038.605;45007
59.042.896;44037
59.047.186;44458
59.051.477;44910
59.055.762;44799
59.060.052;45608
59.064.343;44681
59.068.634;45044
59.072.919;44973
59.077.209;43966
590.815;44063
59.085.785;43827
59.090.076;44540
59.094.366;44163
59.098.651;44347
59.102.942;44633
59.107.233;44470
59.111.517;45654
59.115.808;45177
59.120.099;46172
59.124.384;44527
59.128.674;45299
59.132.959;44135
5.913.725;44350
59.141.534;43998
59.145.825;43815
59.150.116;44767
59.154.401;44348
59.158.691;43900
59.162.976;44158
59.167.267;44790
59.171.552;45488
59.175.842;43959
59.180.127;44036
59.184.412;44006
59.188.702;44148
59.192.987;44477
59.197.278;44595
59.201.562;44077
59.205.853;44152
59.210.138;44567
59.214.423;44323
59.218.713;44085
59.222.998;44025
59.227.283;44387
59.231.573;44420
59.235.858;44117
59.240.143;44648
59.244.434;44136
59.248.718;44920
59.253.003;44010
59.257.294;44811
59.261.578;44887
59.265.863;44413
59.270.148;44288
59.274.438;44094
59.278.723;44513
59.283.008;44176
59.287.292;44305
59.291.577;44388
59.295.868;44205
59.300.153;43811
59.304.437;44633
59.308.722;44427
59.313.007;44600
59.317.291;44415
59.321.576;43859
59.325.867;44279
59.330.151;44280
59.334.436;44532
59.338.721;44041
59.343.005;44001
5.934.729;45379
59.351.575;44494
59.355.859;44322
59.360.144;44646
59.364.429;44386
59.368.713;44150
59.372.998;44169
59.377.283;44112
59.381.567;43871
59.385.852;44556
59.390.137;44349
59.394.421;44939
59.398.706;45133
59.402.991;44479
59.407.275;44271
5.941.156;44371
59.415.845;44186
59.420.123;44289
59.424.408;44331
59.428.693;44230
59.432.977;45138
59.437.262;44139
59.441.547;44542
59.445.831;44297
5.945.011;44664
59.454.395;44599
59.458.679;44551
59.462.964;44326
59.467.242;44061
59.471.527;43929
59.475.812;43894
59.480.096;44545
59.484.375;45291
5.948.866;44497
59.492.944;44712
59.497.229;44447
59.501.508;45055
59.505.792;45550
59.510.077;45144
59.514.355;44818
5.951.864;44356
59.522.925;44389
59.527.203;44129
59.531.488;44506
59.535.767;44278
59.540.051;43959
59.544.336;44256
59.548.615;44155
59.552.899;44040
59.557.178;43836
59.561.462;44570
59.565.741;44346
59.570.026;44489
59.574.304;44740
59.578.589;44724
59.582.867;44125
59.587.152;43898
59.591.431;44802
59.595.715;44845
59.599.994;44655
59.604.272;44753
59.608.557;44317
59.612.836;44542
5.961.712;44161
59.621.399;43713
59.625.677;44668
59.629.962;44028
59.634.241;45292
59.638.525;45610
59.642.804;44589
59.647.083;44846
59.651.361;45085
59.655.646;44714
59.659.924;44729
59.664.203;45126
59.668.488;44761
59.672.766;45309
59.677.045;44819
59.681.323;45113
59.685.608;45549
59.689.886;44742
59.694.165;44648
59.698.444;44402
59.702.722;44262
59.707.007;44890
59.711.285;44678
59.715.564;44534
59.719.843;45251
59.724.121;44052
597.284;44342
59.732.678;44593
59.736.957;45184
59.741.241;44043
5.974.552;45059
59.749.799;44798
59.754.077;44248
59.758.356;44687
59.762.634;44316
59.766.913;44343
59.771.191;44671
5.977.547;45337
59.779.749;45492
59.784.027;44286
59.788.306;44069
59.792.584;44422
59.796.863;44178
59.801.141;44289
59.805.414;44283
59.809.692;44573
59.813.971;45389
5.981.825;44721
59.822.528;45017
59.826.807;44763
59.831.085;44099
59.835.364;44347
59.839.636;44728
59.843.915;44940
59.848.193;44103
59.852.472;44445
5.985.675;45579
59.861.023;43821
59.865.302;44210
5.986.958;44115
59.873.859;44382
59.878.131;45331
5.988.241;44276
59.886.688;44690
59.890.967;44347
59.895.239;44670
59.899.518;45053
59.903.796;45382
59.908.069;44759
59.912.347;44156
5.991.662;44788
59.920.898;44362
59.925.177;44318
59.929.449;45095
59.933.728;44291
599.38;44807
59.942.279;44671
59.946.558;44816
5.995.083;44850
59.955.109;44195
59.959.381;44737
5.996.366;44499
59.967.932;44388
59.972.211;44599
59.976.483;44497
59.980.762;44625
59.985.034;44268
59.989.313;44218
59.993.585;44932
59.997.858;45070
60.002.136;44699
60.006.409;45070
60.010.687;44739
6.001.496;45355
60.019.232;46158
60.023.511;45247
60.027.783;44956
60.032.056;45412
60.036.334;46125
60.040.607;45024
60.044.879;45694
60.049.158;45278
6.005.343;45219
60.057.703;45064
60.061.975;44685
60.066.254;45504
60.070.526;46160
60.074.799;45520
60.079.071;45353
60.083.344;44891
60.087.622;45753
60.091.895;45430
60.096.167;45318
60.100.439;45720
60.104.712;45424
60.108.984;46743
60.113.257;46092
60.117.535;45272
60.121.808;46081
6.012.608;45307
60.130.353;46379
60.134.625;45648
60.138.898;45962
6.014.317;45669
60.147.443;45510
60.151.715;45508
60.155.988;45425
6.016.026;45340
60.164.532;45686
60.168.805;45431
60.173.077;45895
6.017.735;45670
60.181.622;45018
60.185.895;45678
60.190.167;45001
60.194.434;45307
60.198.706;46285
60.202.979;45701
60.207.251;44984
60.211.523;45757
60.215.796;45409
60.220.068;45160
60.224.335;46175
60.228.607;44998
6.023.288;45279
60.237.152;44756
60.241.425;44980
60.245.691;45379
60.249.963;44794
60.254.236;45149
60.258.508;45741
60.262.775;44699
60.267.047;45085
6.027.132;44881
60.275.586;45937
60.279.858;45269
60.284.131;44966
60.288.397;44961
6.029.267;46920
60.296.936;45291
60.301.208;44584
60.305.481;45556
60.309.747;45331
6.031.402;44911
60.318.286;45047
60.322.559;44852
60.326.831;45073
60.331.097;44444
6.033.537;44858
60.339.636;45055
60.343.909;44656
60.348.175;44679
60.352.441;45032
60.356.714;44529
6.036.098;44925
60.365.253;44353
60.369.519;44422
60.373.792;44556
60.378.058;44652
60.382.324;44357
60.386.597;45034
60.390.863;44998
60.395.135;44540
60.399.402;45904
60.403.668;45050
60.407.941;44197
60.412.207;44605
60.416.473;44433
6.042.074;44305
60.425.012;44543
60.429.279;44992
60.433.545;44438
60.437.811;44024
60.442.084;44375
6.044.635;44466
60.450.616;44074
60.454.883;44631
60.459.149;45250
60.463.422;44525
60.467.688;44696
60.471.954;44793
60.476.221;44752
60.480.487;45280
60.484.753;45099
6.048.902;44097
60.493.286;43443
60.497.552;43605
60.501.819;44188
60.506.091;44119
60.510.358;43861
60.514.624;43001
6.051.889;42730
60.523.157;42829
60.527.423;43576
60.531.689;43621
60.535.956;42936
60.540.216;43298
60.544.482;42515
60.548.749;42974
60.553.015;42668
60.557.281;43285
60.561.548;42768
60.565.814;42608
60.570.081;43055
60.574.347;42705
60.578.607;42883
60.582.874;42491
6.058.714;43926
60.591.406;43086
60.595.673;42969
60.599.933;42955
60.604.199;42862
60.608.466;42624
60.612.732;42852
60.616.992;43095
60.621.259;42802
60.625.525;43316
60.629.791;42454
60.634.052;42433
60.638.318;42662
60.642.584;43282
60.646.844;42300
60.651.111;42564
60.655.377;42594
60.659.637;43015
60.663.904;43099
60.668.164;42465
6.067.243;43877
60.676.691;43004
60.680.957;43289
60.685.223;43048
60.689.484;43771
6.069.375;43075
6.069.801;42728
60.702.277;42810
60.706.537;42734
60.710.803;43063
60.715.063;42648
60.719.324;42852
6.072.359;42540
6.072.785;42680
60.732.117;42542
60.736.377;42741
60.740.637;42875
60.744.904;42944
60.749.164;43385
6.075.343;42755
6.075.769;42938
60.761.951;43160
60.766.217;42960
60.770.477;42507
60.774.738;42717
60.778.998;43018
60.783.264;43495
60.787.524;42723
60.791.785;42828
60.796.045;43200
60.800.311;42571
60.804.572;42949
60.808.832;43505
60.813.092;42893
60.817.352;43412
60.821.613;42879
60.825.879;42717
60.830.139;43399
60.834.399;43019
6.083.866;43235
6.084.292;43040
6.084.718;42276
6.085.144;42326
60.855.701;42025
60.859.961;42577
60.864.221;42501
60.868.481;42852
60.872.742;42440
60.877.002;42896
60.881.262;42618
60.885.522;42483
60.889.783;43054
60.894.043;43005
60.898.303;43430
60.902.563;42592
60.906.824;43273
60.911.084;42609
60.915.344;42910
60.919.598;42814
60.923.859;42977
60.928.119;42655
60.932.379;43097
60.936.639;42939
609.409;43292
60.945.154;43169
60.949.414;42977
60.953.674;42673
60.957.935;42713
60.962.189;43108
60.966.449;42734
60.970.709;42647
60.974.963;42692
60.979.224;42964
60.983.484;42914
60.987.744;42511
60.991.998;42765
60.996.259;42393
61.000.513;42298
61.004.773;42901
61.009.033;42448
61.013.287;42518
61.017.548;42416
61.021.802;42549
61.026.062;43067
61.030.316;42934
61.034.576;42599
61.038.837;42855
61.043.091;42549
61.047.351;43313
61.051.605;43394
61.055.859;42853
6.106.012;42895
61.064.374;42722
61.068.634;42905
61.072.888;42524
61.077.148;42930
61.081.403;42556
61.085.657;42770
61.089.917;42740
61.094.171;43273
61.098.425;42864
61.102.686;42566
6.110.694;42274
61.111.194;42810
61.115.454;42938
61.119.708;42496
61.123.962;42440
61.128.217;42744
61.132.477;42657
61.136.731;43130
61.140.985;43056
61.145.239;42816
61.149.493;42749
61.153.754;43354
61.158.008;42758
61.162.262;43174
61.166.516;43438
6.117.077;42841
61.175.024;42941
61.179.279;43184
61.183.533;42645
61.187.793;43188
61.192.047;42801
61.196.301;43071
