568.09283	42735
568.13599	42944
568.17914	42631
568.22229	42098
568.26544	42560
568.30859	42352
568.35181	43219
568.39496	43137
568.43811	42789
568.48126	42942
568.52441	43126
568.56757	43058
568.61072	42584
568.65393	45413
568.69708	42607
568.74023	42585
568.78339	42559
568.82654	42586
568.86969	43531
568.91284	42960
568.95599	42923
568.99915	43034
569.0423	42600
569.08545	43125
569.1286	43104
569.17175	42944
569.2149	43776
569.25806	42757
569.30121	42854
569.34436	42906
569.38751	42838
569.43066	42773
569.47382	42643
569.51697	42810
569.56012	43099
569.60327	44666
569.64642	42681
569.68958	42734
569.73273	42867
569.77588	43136
569.81903	42736
569.86218	43234
569.90533	43014
569.94849	42777
569.99164	42776
570.03473	42260
570.07788	43101
570.12103	43537
570.16418	43309
570.20734	43205
570.25049	43144
570.29364	43227
570.33673	43182
570.37988	42971
570.42303	43701
570.46619	43393
570.50934	42751
570.55243	42530
570.59558	43139
570.63873	43336
570.68188	43557
570.72504	42631
570.76813	42588
570.81128	42704
570.85443	43190
570.89758	43738
570.94067	43001
570.98383	42774
571.02698	43263
571.07007	42780
571.11322	43114
571.15637	43191
571.19952	43280
571.24261	43022
571.28577	43434
571.32892	43321
571.37201	42351
571.41516	43087
571.45825	43255
571.5014	43011
571.54456	42982
571.58765	43190
571.6308	43561
571.67395	43650
571.71704	43345
571.76019	43101
571.80328	42906
571.84644	43569
571.88953	42667
571.93268	43093
571.97583	42437
572.01892	42858
572.06207	43362
572.10516	43477
572.14832	42677
572.19141	43468
572.23456	43659
572.27765	43063
572.3208	43088
572.36389	43026
572.40704	43303
572.45013	43248
572.49329	43182
572.53638	43186
572.57947	42883
572.62262	44201
572.66571	42825
572.70886	42841
572.75195	43006
572.7951	43180
572.8382	44411
572.88129	43250
572.92444	42795
572.96753	42694
573.01062	43240
573.05377	43148
573.09686	43561
573.13995	43083
573.18311	43514
573.2262	42615
573.26929	43102
573.31244	43152
573.35553	43258
573.39862	42987
573.44177	42873
573.48486	44553
573.52795	43199
573.57104	43855
573.6142	43095
573.65729	43660
573.70038	43948
573.74347	43162
573.78662	42696
573.82971	42399
573.8728	43586
573.91589	43387
573.95898	43334
574.00214	43370
574.04523	43017
574.08832	43161
574.13141	43234
574.1745	44301
574.21759	42539
574.26074	42842
574.30383	43387
574.34692	42999
574.39001	42937
574.43311	42496
574.4762	42770
574.51929	45167
574.56238	44049
574.60547	42887
574.64862	42975
574.69171	43106
574.7348	43832
574.77789	43393
574.82098	43038
574.86407	43188
574.90717	43763
574.95026	43732
574.99335	43247
575.03644	44097
575.07953	43685
575.12262	43209
575.16571	42834
575.2088	44062
575.25189	42765
575.29498	43385
575.33807	43513
575.3811	43155
575.42419	43416
575.46729	43063
575.51038	43952
575.55347	43649
575.59656	43429
575.63965	43606
575.68274	44025
575.72583	43961
575.76886	43771
575.81195	44754
575.85504	43871
575.89813	44171
575.94122	44166
575.98431	44022
576.02734	44162
576.07043	45105
576.11353	44354
576.15662	45160
576.19971	44618
576.24274	44148
576.28583	44646
